TipoDeInmueble,TipoDeOperacion,Dormitorios,Precio,Moneda,Zona,FechaDeActualización,Descripcion
Departamento,Alquiler,1.0,105000.0,Pesos,Bº Centro,14.07.2023,DEPTO EN ALQUILER AMOBLADO 1 DORMITORIO 
Departamento,Alquiler,1.0,150000.0,Pesos,Bº Cofico,14.07.2023,"EXCELENTE DPTO EN ALQUILER,  APTO OFICINA"
Departamento,Alquiler,1.0,80000.0,Pesos,Bº Alberdi,12.06.2023,OPORTUNIDAD AMPLIO C / BALCON
Departamento,Alquiler,1.0,150000.0,Pesos,Bº Cerro de las Rosas,12.06.2023,OPORTUNIDAD AMPLIO  DEPOSITO-BAULERA EN PLENO CERRO DE LAS ROSAS
Departamento,Alquiler,1.0,78000.0,Pesos,Bº Providencia,05.06.2023,B° Provindencia - Martin Garcia 564 - se alquila
Departamento,Alquiler,1.0,95000.0,Pesos,Bº Centro,16.05.2023,"SE ALQUILA LOCAL,  CON BAÑO- JUJUY 193 ESQ COLON"
Departamento,Alquiler,1.0,55000.0,Pesos,Bº Alberdi,13.04.2023,ALQUILER DEPARTAMENTO 1 DORM
Departamento,Alquiler,1.0,170000.0,Pesos,Bº Centenario,25.10.2022,"Centenario,  1 cda de La Cordillera"
Departamento,Alquiler,2.0,250000.0,Pesos,Bº Teodoro Felds,05.10.2023,Alquiler Temporario Dpto 2 Dorm En Villa Sol
Departamento,Alquiler,2.0,200000.0,Pesos,Bº Mariano Balcarce,05.10.2023,Alquiler departamento 2 dorm amoblado
Departamento,Alquiler,1.0,410000.0,Pesos,Bº Ameghino Norte,06.09.2023,ALQUILO GALPON A 3 CUADRAS DE RUTA 20 
Departamento,Alquiler,1.0,400000.0,Pesos,Bº Villa Cabrera,17.05.2023,VILLA CABRERA - AMPLIO GALPON EN ALQUILER - NAVE DE 380 M2 - ZONA SHOPPING
Departamento,Alquiler,1.0,170000.0,Pesos,Bº General Paz,02.10.2023,Gral Paz - 1 Dor c / coch o sin coch
Departamento,Alquiler,1.0,130000.0,Pesos,Bº Universitario de Horizonte,28.09.2023,Alquilo casa por dueño sin comisión
Departamento,Alquiler,1.0,95000.0,Pesos,Bº Alberdi,25.09.2023,ALQUILO DEPARTAMENTO DE UN DORMITORIO ZONA PLAZA COLON
Departamento,Alquiler,1.0,70000.0,Pesos,Bº San Martin,20.09.2023,San Martin - Dpto 1 Dorm a estrenar!. Sin expensas! Planta baja con patio
Departamento,Alquiler,1.0,60000.0,Pesos,Bº Los Paraisos,19.09.2023,Monoambiente amplio! Todos los servicios.
